empid,basic_salary,grade_pay,DA,home_rent,convience_allowance,absent,earned_leave,casual_leave,maternity_leave,washing_allowance
EMP00001,26059,2306,11435,3252,1788,5,1,1,0,596
EMP00002,25438,2251,12783,5597,1569,5,5,1,0,474
EMP00003,18353,1928,6000,2437,1306,2,0,7,0,540
EMP00004,43470,2269,22667,7475,1279,0,11,1,0,555
EMP00005,21432,3311,7400,5274,1025,4,4,4,0,428
EMP00006,36516,4163,15411,10512,1865,4,1,7,0,427
EMP00007,28234,2356,9750,5859,1510,0,1,10,0,600
EMP00008,37224,3624,14199,4153,1062,3,11,10,0,568
EMP00009,26794,3180,10682,7898,1710,5,1,10,0,522
EMP00010,45214,3914,21687,5722,1447,2,6,1,0,423
EMP00011,32455,3114,18251,5576,1240,4,13,8,0,381
EMP00012,48349,4410,22863,8526,1165,3,11,0,0,583
EMP00013,44056,2579,20719,10864,1859,3,11,9,0,457
EMP00014,19818,3421,6725,2057,1553,1,14,5,0,343
EMP00015,44393,4126,14252,9523,989,1,14,0,0,590
EMP00016,24005,2057,7591,5385,1109,5,3,6,0,419
EMP00017,30311,3213,13774,7539,1029,5,0,7,0,530
EMP00018,39799,2602,17345,10420,1722,3,5,1,0,418
EMP00019,49006,1051,26336,12880,1063,4,12,5,0,479
EMP00020,47057,3095,26927,13420,899,5,5,3,0,412
EMP00021,36520,1195,14700,6188,1203,5,4,0,0,512
EMP00022,34797,2989,16523,6932,1848,1,8,2,0,424
EMP00023,26754,2075,15041,6970,1345,3,1,5,0,503
EMP00024,45117,4143,25054,9926,1388,5,12,6,0,409
EMP00025,16771,2811,7730,2631,1864,4,3,1,0,585
EMP00026,30806,4298,13042,6991,1877,4,11,7,0,447
EMP00027,37658,3899,12417,8338,1245,5,7,6,0,387
EMP00028,30222,3730,13870,8713,1709,0,4,6,0,430
EMP00029,38919,4377,17044,10896,1119,3,4,8,0,433
EMP00030,37912,2433,18136,8003,1666,4,2,8,0,387
EMP00031,45595,1780,23854,8336,1796,4,13,1,4,479
EMP00032,39906,1799,12522,7801,969,5,3,0,0,377
EMP00033,48867,4698,21390,10432,1123,1,5,4,0,532
EMP00034,42223,2697,21715,12477,1099,4,0,6,0,483
EMP00035,29061,1927,15960,4187,1952,3,1,9,0,573
EMP00036,46129,3428,22129,7068,853,5,1,8,0,480
EMP00037,29633,2161,16041,7140,1594,3,4,6,0,332
EMP00038,31430,4037,12629,3574,1209,1,13,5,92,454
EMP00039,23362,4534,9814,5179,1491,1,5,6,0,332
EMP00040,26844,3606,13777,6254,1168,0,3,2,0,460
EMP00041,17660,1108,5771,4293,1665,4,13,7,0,487
EMP00042,48419,3256,24286,13141,1390,0,15,0,0,570
EMP00043,19816,2214,6085,2889,911,5,10,2,0,454
EMP00044,30151,1296,12558,8950,904,2,7,8,0,582
EMP00045,36558,3529,14724,6373,1780,1,7,8,0,326
EMP00046,27735,2628,13118,4992,1550,5,11,6,0,453
EMP00047,21343,1361,12267,5652,1412,5,9,8,0,530
EMP00048,27211,2900,15221,3987,1714,0,14,8,0,342
